segment,K,lags,lambda_f,lambda_x,lambda_w,alpha,eta,rmse,runtime
26,1,[1],0.1,0.1,0.1,1000,1.0,0.9282369252537218,2.798511028289795
27,2,[1],0.1,0.1,0.1,1000,1.0,2.0525078190170754,3.3300890922546387
28,2,[1],0.1,0.1,0.1,1000,1.0,0.6087049873815005,3.368985414505005
29,2,[1],0.1,0.1,0.1,1000,1.0,1.018146012504452,3.337071180343628
30,2,[1],0.1,0.1,0.1,1000,1.0,0.5824474799620759,3.3649959564208984
31,1,[1],0.1,0.1,0.1,1000,1.0,1.738869934963884,2.78654408454895
0,1,[1],0.1,0.1,0.1,1000,10.0,0.8569376479221593,2.7945210933685303
1,1,[1],0.1,0.1,0.1,1000,10.0,0.939730478942652,2.7606117725372314
2,1,[1],0.1,0.1,0.1,1000,10.0,0.4748885245174891,2.842393636703491
3,1,[1],0.1,0.1,0.1,1000,10.0,3.813843200720339,2.743657350540161
4,1,[1],0.1,0.1,0.1,1000,10.0,1.7384811765092494,2.797513008117676
5,1,[1],0.1,0.1,0.1,1000,10.0,1.4621004008804899,3.1007022857666016
6,1,[1],0.1,0.1,0.1,1000,10.0,1.0979390356831102,3.0967137813568115
7,1,[1],0.1,0.1,0.1,1000,10.0,1.0484573061451636,2.8962504863739014
8,2,[1],0.1,0.1,0.1,1000,10.0,0.8983660188994325,3.401895523071289
9,1,[1],0.1,0.1,0.1,1000,10.0,0.6338440772822499,2.8483777046203613
10,1,[1],0.1,0.1,0.1,1000,10.0,1.1051812484162093,2.765599250793457
11,1,[1],0.1,0.1,0.1,1000,10.0,1.014589504807293,2.890266180038452
12,1,[1],0.1,0.1,0.1,1000,10.0,0.8454726317488476,2.7296948432922363
13,1,[1],0.1,0.1,0.1,1000,10.0,1.2838319268700604,2.8104803562164307
14,2,[1],0.1,0.1,0.1,1000,10.0,1.2840910761782167,3.339064359664917
15,1,[1],0.1,0.1,0.1,1000,10.0,1.6987457590809192,2.8314239978790283
16,2,[1],0.1,0.1,0.1,1000,10.0,0.8313488628859866,3.328094959259033
17,1,[1],0.1,0.1,0.1,1000,10.0,0.9126439205979361,2.8603463172912598
18,1,[1],0.1,0.1,0.1,1000,10.0,0.8006394225219509,2.7247087955474854
19,4,[1],0.1,0.1,0.1,1000,10.0,0.580144915539643,3.5664491653442383
20,1,[1],0.1,0.1,0.1,1000,10.0,0.9365446505021056,2.8393986225128174
21,1,[1],0.1,0.1,0.1,1000,10.0,0.8764365141676711,2.730693817138672
22,1,[1],0.1,0.1,0.1,1000,10.0,0.9880504402840622,2.7975146770477295
23,2,[1],0.1,0.1,0.1,1000,10.0,1.6298103305129914,3.321112871170044
24,1,[1],0.1,0.1,0.1,1000,10.0,0.6563737063754095,2.82045316696167
25,2,[1],0.1,0.1,0.1,1000,10.0,0.827494110408946,3.284212350845337
